ANIMAL WASTE,BIOLOGY,FECES GUANO URINE BIOMASS MANURE METABOLIC,A material composed of excreta with or without bedding materials and/or animal drugs collected from poultry ruminants or other animals except humans.,
ANIMALS,BIOLOGY,SPECIES CLASS GENUS ORGANISM ZOOLOGY KINGDOM,A living organism that feeds on organic matter typically having specialized sense organs and nervous system and able to respond rapidly to stimuli.,
BACTERIA,BIOLOGY,ILLNESS MICROORGANISM PARASITIC ANTIBIOTICS,A member of a large group of unicellular microorganisms that have cell walls but lack organelles and an organized nucleus including some that can cause disease.,
BIODIVERSITY,BIOLOGY,CHAIN REACTION LIFE ECOSYSTEM ORGANISMS HABITAT ANIMAL,The variety of life in the world or in a particular habitat or ecosystem.,
BIOME,BIOLOGY,ECOSYSTEM PLANT ANIMAL WEATHER CLIMATE GEOGRAPHY ECOLOGY,A large naturally occurring community of plants and animals occupying a major habitat.,
BIRDS,BIOLOGY,ANIMAL FLY FLIGHT WING,A warm-blooded egg-laying vertebrate distinguished by the possession of feathers wings and a beak and (typically) by being able to fly.,
BREATHE,BIOLOGY,INHALE LUNG AIR,Take air into the lungs and then expel it especially as a regular physiological process.,
CARNIVORE,BIOLOGY,ANIMAL MEAT CONSUMER FOOD FLESH,An animal that feeds on flesh.,
CELL,BIOLOGY,LIFE MICROORGANISM PROTOPLASM,The smallest structural and functional unit of an organism.,
CIRCADIAN RHYTHM 1,BIOLOGY,SLEEP DAY NIGHT CLOCK,Any biological process that displays an endogenous entrainable oscillation of about 24 hours,
CIRCADIAN RHYTHM 2,BIOLOGY,SLEEP DAY NIGHT CLOCK,Any biological process that displays an endogenous entrainable oscillation of about 24 hours.,
CONSUMER,BIOLOGY,ORGANISM FOOD EAT CARNIVORE,Consumers are organisms of an ecological food chain that receive energy by consuming other organisms.,
DINOSAUR 1,BIOLOGY,ANIMAL REPTILE ANCIENT EXTINCT FOSSIL PALEONTOLOGY,Reptile of the Mesozoic era often reaching an enormous size.,
DINOSAUR 2,BIOLOGY,ANIMAL REPTILE ANCIENT EXTINCT FOSSIL PALEONTOLOGY,Reptile of the Mesozoic era often reaching an enormous size.,
DNA 1,BIOLOGY,CHROMOSOME GENETICS ORGANISM CELL,Deoxyribonucleic acid a self-replicating material present in nearly all living organisms as the main constituent of chromosomes. It is the carrier of genetic information,
DNA 2,BIOLOGY,CHROMOSOME GENETICS ORGANISM CELL,Deoxyribonucleic acid a self-replicating material present in nearly all living organisms as the main constituent of chromosomes. It is the carrier of genetic information.,
ECOSYSTEM,BIOLOGY,ANIMAL COMMUNITY ENVIRONMENT BIOME ECOLOGY,A biological community of interacting organisms and their physical environment.,
ENTOMOLOGY,BIOLOGY,INSECT ZOOLOGY,The branch of zoology concerned with the study of insects.,
EVOLUTION,BIOLOGY,CHANGE ANIMAL METAMORPHOSIS,The process by which different kinds of living organisms are thought to have developed and diversified from earlier forms during the history of the earth.,
FOOD CHAIN,BIOLOGY,ORGANISM EAT ECOLOGY BIOME,Hierarchical series of organisms each dependent on the next as a source of food.,
FOOD ENERGY,BIOLOGY,FOOD EAT ENERGY DIGESTION,Energy that animals (including humans) derive from their food.,
FOOD WEB,BIOLOGY,ECOLOGY FOOD CHAIN CONSUMER BIOME,A system of interlocking and interdependent food chains.,
GENETICS,BIOLOGY,DNA HEREDITY FAMILY REPRODUCTION,The study of heredity and the variation of inherited characteristics,
GILLS,BIOLOGY,FISH ANIMAL AMPHIBIAN BREATHE RESPIRATION,The paired respiratory organ of fishes and some amphibians,
HEART 1,BIOLOGY,ANATOMY CENTER CORE INSIDE,"A hollow muscular organ that pumps the blood through the circulatory system by rhythmic contraction and dilation. Audeme can also mean ""Core"".",
HEART 2,BIOLOGY,ANATOMY CENTER CORE INSIDE,"A hollow muscular organ that pumps the blood through the circulatory system by rhythmic contraction and dilation. Audeme can also mean ""Core"".",
HEART TRANSPLANT,BIOLOGY,ANATOMY SURGERY ORGAN,A heart transplant is an operation in which a failing diseased heart is replaced with a healthier donor heart.,
HYPERVENTILATE,BIOLOGY,BREATHE AIR OXYGEN CARBON DIOXIDE,Breathe or cause to breathe at an abnormally rapid rate so increasing the rate of loss of carbon dioxide.,
ILLNESS,BIOLOGY,UNHEALTHY CONDITION POOR HEALTH INDISPOSITION SICKNESS,Affected by physical or mental illness.,
INFECTION,BIOLOGY,SICK ILLNESS BACTERIA DISEASE GERM VIRUS PARASITE,A disease caused by germs that enter the body,
INSECTS,BIOLOGY,ANIMAL SMALL BUG,A small arthropod animal that has six legs and generally one or two pairs of wings,
MICROORGANISM,BIOLOGY,SMALL ORGANISM GERM VIRUS FUNGUS,A microscopic organism especially a bacterium virus or fungus.,
MUSHROOM,BIOLOGY,FUNGUS MOLD MYCOLOGY,A fungal growth that typically takes the form of a domed cap on a stalk often with gills on the underside of the cap,
PET ALLERGY,BIOLOGY,ALLERGY ANIMAL DOMESTICATED,An allergic reaction to proteins found in an animal's skin cells saliva or urine.,
PLANKTON,BIOLOGY,CREATURE ANIMAL ORGANISM SEDIMENT,The small and microscopic organisms drifting or floating in the sea or fresh water.,
POISONOUS SNAKE,BIOLOGY,VENOMOUS REPTILE SERPENT POISON INFECT,Venomous snakes are species of suborder Serpents that are capable of producing venom which is used primarily for immobilizing prey and defense mostly via mechanical injection by fangs.,
PRODUCER,BIOLOGY,FOOD PLANT PHOTOSYNTHESIS,Organisms that can make their own energy through biochemical processes,
RADIOACTIVE DECAY,BIOLOGY,ROT DECOMPOSE BREAK DOWN RADIOACTIVE,Also known as nuclear decay or radioactivity is the process by which a nucleus of an unstable atom loses energy by emitting ionizing radiation.,
REPTILE,BIOLOGY,ANIMAL,A cold-blooded vertebrate of a class that includes snakes lizards crocodiles turtles and tortoises.,
SPECIES,BIOLOGY,ANIMAL ORGANISM GENETIC ,A group of living organisms consisting of similar individuals capable of exchanging genes or interbreeding.,
VIRUS,BIOLOGY,ILLNESS DISEASE SICKNESS INFECTION,An infective agent that is able to multiply only within the living cells of a host.,
WHALE,BIOLOGY,ANIMAL HUGE MARINE SEA,A very large marine mammal.,
AIR 1,EARTH SCIENCE,ATMOSPHERE WIND GAS OXYGEN BREATHE,The invisible gaseous substance surrounding the earth a mixture mainly of oxygen and nitrogen.,
AIR 2,EARTH SCIENCE,ATMOSPHERE WIND GAS OXYGEN BREATHE,The invisible gaseous substance surrounding the earth a mixture mainly of oxygen and nitrogen.,
AIR 3,EARTH SCIENCE,ATMOSPHERE WIND GAS OXYGEN BREATHE,The invisible gaseous substance surrounding the earth a mixture mainly of oxygen and nitrogen.,
AIR PRESSURE,EARTH SCIENCE,ATMOSPHERE PRESSURE WEIGHT AIR FORCE,Atmospheric pressure is the force per unit area exerted on a surface by the weight of air above that surface in the atmosphere of Earth.,
BLIZZARD,EARTH SCIENCE,COLD STORM SNOW WIND WEATHER,A severe snowstorm with high winds and low visibility.,
DESERT,EARTH SCIENCE,LAND TERRAIN DRY SAND HOT WEATHERING,A barren area of land where little precipitation occurs and consequently living conditions are hostile for plant and animal life.,
DUST STORM,EARTH SCIENCE,DESERT STORM DUST SAND,A strong turbulent wind that carries clouds of fine dust soil and sand over a large area.,
EARTH,EARTH SCIENCE,LAND TERRAIN DIRT ROCK GROUND,The substance of the land surface; soil.,
EARTH WAVE,EARTH SCIENCE,VIBRATION EARTHQUAKE SEISMIC,An elastic vibration of the material of the earth.,
FLOOD,EARTH SCIENCE,NATURAL DISASTER WATER OVERFLOW,An overflowing of a large amount of water beyond its normal confines especially over what is normally dry land.,
GEOTHERMAL,EARTH SCIENCE,HEAT EARTH UNDERGROUND SUBTERRANEAN,Of relating to or produced by the internal heat of the earth.,
GLACIER 1,EARTH SCIENCE,ICE COLD SNOW,A slowly moving mass or river of ice formed by the accumulation and compaction of snow on mountains or near the poles.,
GLACIER 2,EARTH SCIENCE,ICE COLD SNOW,A slowly moving mass or river of ice formed by the accumulation and compaction of snow on mountains or near the poles.,
GLACIER 3,EARTH SCIENCE,ICE COLD SNOW,A slowly moving mass or river of ice formed by the accumulation and compaction of snow on mountains or near the poles.,
GROUND WATER,EARTH SCIENCE,WATER SUBTERRANEAN UNDERGROUND,Groundwater is the water located beneath the earth's surface in soil pore spaces and in the fractures of rock formations.,
HYDROPOWER,EARTH SCIENCE,WATER GRAVITY ELECTRICITY POWER HYDROELECTRICITY,Hydroelectric power.,
INNER CORE 1,EARTH SCIENCE,GEOLOGY NICKEL UNDERGROUND,Earth's inner core is Earth's innermost part and is a primarily solid ball.,
INNER CORE 2,EARTH SCIENCE,GEOLOGY NICKEL UNDERGROUND,Earth's inner core is Earth's innermost part and is a primarily solid ball.,
MAGMA,EARTH SCIENCE,LAVA GEOLOGY HOT,Hot fluid or semifluid material below or within the earth's crust from which lava and other igneous rock is formed by cooling.,
MARSH,EARTH SCIENCE,BOG SWAMP TERRAIN LAND,An area of low-lying land that is flooded in wet seasons or at high tide and typically remains waterlogged at all times.,
METAL,EARTH SCIENCE,SOLID GEOLOGY,A solid material that is typically hard shiny malleable fusible and ductile with good electrical and thermal conductivity.,
MOUNTAIN,EARTH SCIENCE,LAND ELEVATION TERRAIN,A large natural elevation of the earth's surface rising abruptly from the surrounding level.,
MUDSLIDE,EARTH SCIENCE,MUD MASS MOVEMENT GRAVITY,A mass of mud and other earthy material that is falling or has fallen down a hillside or other slope.,
NATURAL GAS,EARTH SCIENCE,FUEL ENERGY,Flammable gas consisting largely of methane and other hydrocarbons occurring naturally underground (often in association with petroleum) and used as fuel.,
NATURE,EARTH SCIENCE,NATURAL GRACE BEAUTY EARTH,The phenomena of the physical world collectively including plants animals the landscape and other features and products of the earth,
OIL 1,EARTH SCIENCE,PETROLEUM TRANSPORTATION FOSSIL FUEL,A viscous liquid derived from petroleum especially for use as a fuel or lubricant.,
OIL 2,EARTH SCIENCE,PETROLEUM TRANSPORTATION FOSSIL FUEL,A viscous liquid derived from petroleum especially for use as a fuel or lubricant.,
OUTER CORE 1,EARTH SCIENCE,EARTH CORE GEOLOGY,A liquid layer about 2300 km (1400 mi) thick composed of iron and nickel.,
OUTER CORE 2,EARTH SCIENCE,EARTH CORE GEOLOGY,A liquid layer about 2300 km (1400 mi) thick composed of iron and nickel.,
PEAT,EARTH SCIENCE,SWAMP MARSH BOG FUEL,A brown soil-like material characteristic of boggy acid ground consisting of partly decomposed vegetable matter. It is widely cut and dried for use in gardening and as fuel.,
PETROLEUM,EARTH SCIENCE,OIL FUEL GASOLINE TRANSPORTATION FOSSIL FUEL,A liquid mixture of hydrocarbons that is present in certain rock strata and can be extracted and refined to produce fuels including gasoline kerosene and diesel oil; oil.,
PLATE TECTONICS 1,EARTH SCIENCE,LITHOSPHERE CRUST EARTHQUAKE FAULT LINE,A scientific theory that describes the large-scale motion of Earth's lithosphere.,
PLATE TECTONICS 2,EARTH SCIENCE,LITHOSPHERE CRUST EARTHQUAKE FAULT LINE,A scientific theory that describes the large-scale motion of Earth's lithosphere.,
POLLUTION 1 ,EARTH SCIENCE,DIRT IMPURITY SMOG POISON ATMOSPHERE,The presence in or introduction into the environment of a substance or thing that has harmful or poisonous effects.,
POLLUTION 2,EARTH SCIENCE,DIRT IMPURITY SMOG POISON ATMOSPHERE,The presence in or introduction into the environment of a substance or thing that has harmful or poisonous effects.,
SAND DUNE,EARTH SCIENCE,SAND DESERT GEOGRAPHY,A dune is a hill of sand built by either wind or water flow.,
SAND STORM 1,EARTH SCIENCE,SAND DESERT GEOGRAPHY STORM DUST,A windstorm especially in a desert that blows along great clouds of sand.,
SAND STORM 2,EARTH SCIENCE,SAND DESERT GEOGRAPHY STORM DUST,A windstorm especially in a desert that blows along great clouds of sand.,
SEA,EARTH SCIENCE,WATER OCEAN ,The expanse of salt water that covers most of the earth's surface and surrounds its landmasses.,
SEISMIC WAVE,EARTH SCIENCE,VIBRATION EARTHQUAKE SEISMIC,A wave that travels through the Earth often as the result of an earthquake or explosion.,
SEISMOGRAPH,EARTH SCIENCE,EARTHQUAKE EARTH PLATE TECTONICS FAULT LINE,An instrument that measures and records details of earthquakes such as force and duration.,
STEAM 1,EARTH SCIENCE,VAPOR WATER MOISTURE ENERGY,The vapor into which water is converted when heated.,
STEAM 2,EARTH SCIENCE,VAPOR WATER MOISTURE ENERGY,The vapor into which water is converted when heated.,
STEAM 3,EARTH SCIENCE,VAPOR WATER MOISTURE ENERGY,The vapor into which water is converted when heated.,
STORM 1,EARTH SCIENCE,ATMOSPHERE WEATHER SEVERE WEATHER PRECIPITATION,A violent disturbance of the atmosphere with strong winds and usually rain thunder lightning or snow.,
STORM 2,EARTH SCIENCE,ATMOSPHERE WEATHER SEVERE WEATHER PRECIPITATION,A violent disturbance of the atmosphere with strong winds and usually rain thunder lightning or snow.,
SUNLIGHT 1,EARTH SCIENCE,LIGHT PHOTON ENERGY,Light from the sun.,
SUNLIGHT 2 ,EARTH SCIENCE,LIGHT PHOTON ENERGY,Light from the sun.,
TIDAL WAVE,EARTH SCIENCE,TSUNAMI TIDE WAVE OCEAN EARTHQUAKE DISASTER,An exceptionally large ocean wave especially one caused by an underwater earthquake or volcanic eruption.,
TIDE 1,EARTH SCIENCE,WAVE OCEAN SEA GRAVITY,The regular upward and downward movement of the level of the ocean that is caused by the pull of the Sun and the Moon on the Earth.,
TIDE 2,EARTH SCIENCE,WAVE OCEAN SEA GRAVITY,The regular upward and downward movement of the level of the ocean that is caused by the pull of the Sun and the Moon on the Earth.,
TORNADO ,EARTH SCIENCE,NATURAL DISASTER WIND STORM VORTEX,A mobile destructive vortex of violently rotating winds having the appearance of a funnel-shaped cloud and advancing beneath a large storm system.,
TSUNAMI,EARTH SCIENCE,NATURAL DISASTER TIDAL WAVE FLOOD SEA OCEAN ,A long high sea wave caused by an earthquake submarine landslide or other disturbance.,
VOLCANO 1,EARTH SCIENCE,MOUNTAIN LAVA HEAT ERUPTION,A mountain or hill typically conical having a crater or vent through which lava rock fragments hot vapor and gas are being or have been erupted from the earth's crust.,
VOLCANO 2,EARTH SCIENCE,MOUNTAIN LAVA HEAT ERUPTION,A mountain or hill typically conical having a crater or vent through which lava rock fragments hot vapor and gas are being or have been erupted from the earth's crust.,
WATER CYCLE 1,EARTH SCIENCE,CYCLE EVAPORATION CONDENSATION WEATHER ATMOSPHERE TRANSPIRATION ,The cycle of processes by which water circulates between the earth's oceans atmosphere and land involving precipitation as rain and snow drainage in streams and rivers and return to the atmosphere by evaporation and transpiration.,
WATER CYCLE 2,EARTH SCIENCE,CYCLE EVAPORATION CONDENSATION WEATHER ATMOSPHERE TRANSPIRATION ,The cycle of processes by which water circulates between the earth's oceans atmosphere and land involving precipitation as rain and snow drainage in streams and rivers and return to the atmosphere by evaporation and transpiration.,
WATERFALL,EARTH SCIENCE,WATER RIVER RAPIDS GRAVITY,A cascade of water falling from a height formed when a river or stream flows over a precipice or steep incline.,
WEATHER,EARTH SCIENCE,ATMOSPHERE TEMPERATURE MOISTURE ATMOSPHERIC PRESSURE,The state of the atmosphere with respect to wind temperature cloudiness moisture pressure etc. A clashing of fronts.,
WIND 1,EARTH SCIENCE,AIR ATMOSPHERE,The perceptible natural movement of the air.,
WIND 2,EARTH SCIENCE,AIR ATMOSPHERE,The perceptible natural movement of the air.,
ATOMIC ENERGY 1,ENERGY,ATOM ENERGY NUCLEAR REACTION RADIOACTIVE,Energy produced by atoms.,
ATOMIC ENERGY 2,ENERGY,ATOM ENERGY NUCLEAR REACTION RADIOACTIVE,Energy produced by atoms.,
BIOMASS 1,ENERGY,RENEWABLE ENEGY PLANT ANIMAL WASTE HEAT BIOFUEL,Plant material vegetation or agricultural waste used as a fuel or energy source.,
BIOMASS 2,ENERGY,RENEWABLE ENEGY PLANT NIMAL WASTE HEAT BIOFUEL,Plant material vegetation or agricultural waste used as a fuel or energy source.,
BIOMASS 3,ENERGY,RENEWABLE ENEGY PLANT NIMAL WASTE HEAT BIOFUEL,Plant material vegetation or agricultural waste used as a fuel or energy source.,
CHEAP ENERGY,ENERGY,INEXPENSIVE RENEWABLE,Energy that is inexpensive to produce or renewable.,
CLEAN ENERGY,ENERGY,INEXPENSIVE RENEWABLE ENVIRONMENT,Energy as electricity or nuclear power that does not pollute the atmosphere when used.,
ELECTRIC ENERGY,ENERGY,CHARGE ELECTRICITY POWER,Energy made available by the flow of electric charge through a conductor.,
ELECTRICITY,ENERGY,CHARGE ELECTRON PROTON POWER,A form of energy resulting from the existence of charged particles either statically as an accumulation of charge or dynamically as a current.,
ENERGY 1,ENERGY,POWER ELECTRICITY GENERATOR PHYSICS,Power derived from the utilization of physical or chemical resources especially to provide light and heat or to work machines.,
ENERGY 2,ENERGY,POWER ELECTRICITY GENERATOR PHYSICS,Power derived from the utilization of physical or chemical resources especially to provide light and heat or to work machines.,
ENERGY 3,ENERGY,POWER ELECTRICITY GENERATOR PHYSICS,Power derived from the utilization of physical or chemical resources especially to provide light and heat or to work machines.,
GEOTHERMAL ENERGY,ENERGY,HEAT EARTH UNDERGROUND SUBTERRANEAN ENERGY,Thermal energy generated and stored in the Earth.,
HYDROELECTRICITY 1,ENERGY,WATER GRAVITY ELECTRICITY POWER,Hydroelectricity is the term referring to electricity generated by hydropower; the production of electrical power through the use of the gravitational force of falling or flowing water.,
HYDROELECTRICITY 2,ENERGY,WATER GRAVITY ELECTRICITY POWER,Hydroelectricity is the term referring to electricity generated by hydropower; the production of electrical power through the use of the gravitational force of falling or flowing water.,
RENEWABLE ENERGY,ENERGY,SUSTAINABLE LIMITLESS,Energy from a source that is not depleted when used such as wind or solar power.,
SOLAR CELL,ENERGY,SUN LIGHT ELECTRICITY SOLAR ENERGY,A device converting solar radiation into electricity.,
SOLAR ENERGY 1,ENERGY,SUN LIGHT ELECTRICITY RENEWABLE ENERGY SUSTAINABLE,Radiant energy emitted by the sun.,
SOLAR ENERGY 2,ENERGY,SUN LIGHT ELECTRICITY RENEWABLE ENERGY SUSTAINABLE,Radiant energy emitted by the sun.,
SOLAR ENERGY 3,ENERGY,SUN LIGHT ELECTRICITY RENEWABLE ENERGY SUSTAINABLE,Radiant energy emitted by the sun.,
STEAM ENERGY ,ENERGY,EARTH SCIENCE VAPOR WATER MOISTURE STEAM ENGINE,The heat energy of pressurized steam.,
WAVE ENERGY 1,ENERGY,WAVE WATER OCEAN TURBINE RENEWABLE ENERGY,Energy obtained by harnessing wave power.,
WAVE ENERGY 2,ENERGY,WAVE WATER OCEAN TURBINE RENEWABLE ENERGY,Energy obtained by harnessing wave power.,
WIND ENERGY 1,ENERGY,RENEWABLE ENERGY WINDMILL WIND FARM TURBINE ELECTRICITY,The energy extracted from wind using wind turbines to produce electrical power.,
WIND ENERGY 2,ENERGY,RENEWABLE ENERGY WINDMILL WIND FARM TURBINE ELECTRICITY,The energy extracted from wind using wind turbines to produce electrical power.,
WIND FARM,ENERGY,SEDIMENT RENEWABLE ENERGY WINDMILL WIND ENERGY, An area of land with a group of energy-producing windmills or wind turbines.,
WINDMILL,ENERGY,RENEWABLE ENERGY WIND ENERGY,A building with sails or vanes that turn in the wind and generate power to grind grain into flour.,
AWAKEN ,GENERAL,MORNING DAY SLEEP DREAM ,To rouse from sleep to stop sleeping.,
BAD 1,GENERAL,EVIL WRONG NEGATIVE AWFUL SICK UNFORTUNATE,Of poor quality; inferior or defective. Unpleasant or unwelcome.,
BAD 2,GENERAL,EVIL WRONG NEGATIVE AWFUL SICK UNFORTUNATE,Of poor quality; inferior or defective. Unpleasant or unwelcome.,
BEAUTIFUL,GENERAL,GOOD PRETTY WONDERFUL FORTUNATE ATTRACTIVE APPEALING,Pleasing the senses or mind aesthetically.,
